expression,context
jedno słowo,Nazwa zespołu jest identyczna z pseudonimem lidera zespołu Asp (Alexander Spreng) i jest wymawiana jako jedno słowo (jak w wyrazie aspiryna).
jedynym w swoim rodzaju,"Aretha Franklin nazwała go „klasykiem i jedynym w swoim rodzaju”, a także jednym z „największych” (all-time great) aranżerów i producentów."
jedyną w swoim rodzaju,"Wszystkie te trzy reduty zostały zburzone, zostawiając Wieżę Vendôme jako jedyną w swoim rodzaju."
jeśli chodzi o,"Nowa Anglia ma dobrze zachowany charakter regionalny, szczególnie, jeśli chodzi o historyczne miejsca."
jeżeli chodzi o,"Ukazuje się go jako mężczyznę z większą ilością pieniędzy niż rozumu, ale jest bardzo oszczędny, jeżeli chodzi o wydatki na innych."
języki sztuczne,"Inna ankieta przeprowadzona w 2001 przez Patricka Jarretta pokazała, że średnia wieku ludzi tworzących języki sztuczne wynosi 30,65, a średni czas poświęcony na stworzenie języka sztucznego oscyluje wokół 11,83 lat."
języków sztucznych,"Zwolennicy języków sztucznych często mają wiele powodów, by z nich korzystać."
kara śmierci,Za tę działalność całej rodzinie groziła kara śmierci.
karabin maszynowy,"W październiku 2017, po strzelaninie w Las Vegas, Shapiro przekonywał, że „wprowadzenie zakazu posiadania broni każdego typu byłoby nierozsądne i niemoralne”, ale „musimy zrównoważyć potrzebę i prawo do posiadania broni palnej z kwestiami związanymi z porządkiem publicznym, włącznie z ryzykiem, że karabin maszynowy może być użyty publicznie”."
karabinu maszynowego,"Jednym chlubnym wyjątkiem był Helmut Kleinert, 23-latek z Quedlinburga w Saksonii-Anhalt, który został zastrzelony z karabinu maszynowego 1 sierpnia 1963 roku, kiedy on i jego 22-letnia ciężarna żona próbowali przekroczyć granicę w rejonie Hohegeiß w Harzu."
karabiny maszynowe,"Niemcy odkryli tam 120-osobową grupę „silnie uzbrojoną w pistolety, karabiny oraz lekkie karabiny maszynowe”, która stawiała opór."
karabinów maszynowych,"Dwa tygodnie później został mianowany dowódcą karabinów maszynowych, kiedy jego dowódcą został zabity."
kiedy tylko,"Pratchett zaczął używać komputerów do pisania, kiedy tylko stało się to możliwe."
klęsk żywiołowych,"Lotnisko było również używane do koordynacji wysiłków udzielenia pomocy po cyklonie tropikalnym i innych klęsk żywiołowych, zwłaszcza po Cyklonie Larry w 2006 roku."
klęska żywiołowa,"Powodzie i lawiny błota na Maderze – klęska żywiołowa, która dotknęła autonomiczny portugalski archipelag Madera 20 lutego 2010."
klęskami żywiołowymi,"Jego autorką jest Dominika Kulczyk, która dociera do miejsc dotkniętych biedą, klęskami żywiołowymi i różnego rodzaju problemami społecznymi, oferując wsparcie organizacjom działającym na rzecz lokalnych społeczności."
klęski żywiołowe,"Pomaga krajom dotkniętym przez biedę, klęski żywiołowe i różnego rodzaju katastrofy naturalne."
kocha tylko,"Chociaż Brett sypia z wieloma mężczyznami, ciągle kocha tylko Jake’a."
kozłami ofiarnymi,"Perego stwierdził o rzeźbie, że 'Gwiazdy rocka są kozłami ofiarnymi społeczeństwa.'"
końca świata,"Klejnoty te mają tajemną moc, która w niepowołanych rękach może doprowadzić do końca świata."
krewni i znajomi królika,"2011, Izabela Kraj, Ratusz ostro puchnie, Życie Warszawy Szef klubu PiS w radzie miasta Maciej Wąsik ma na to jedną odpowiedź: – W wielu przypadkach nie ma sensownych uzasadnień, bo to są po prostu synekury. Mamy do czynienia z klasycznym przerostem administracji. I to im dalej od ratusza, tym bardziej, bo tam ta społeczna kontrola jest słabsza. Nierzadko to po prostu „krewni i znajomi królika”."
krewnych i znajomych Królika,"Tam kandydaci poważnych partii musieli stawać w szranki z kandydatami piętnaściorga „krewnych i znajomych Królika” i jeśli zdarzyło się, że wśród owych „krewnych i znajomych” znalazła się jakaś lokalna osobistość, to mogli przegrać (...)"
krewnych i znajomych królika,"Ja rozumiem, że pan Piecha mógł mieć całe ogromne stado krewnych i znajomych królika, tudzież jakieś nie doważone panienki z maturką, co to nigdzie pracy znaleźć nie mogły. Ale o tym jakby nagle wszyscy zapomnieli. Totalna amnezja."
krok po kroku,6 grudnia 2011 Popular Mechanics opublikowało analizę wypadku łącznie z tłumaczeniem rozmowy i komentarzem krok po kroku.
krótko mówiąc,"Osoba jest istotą, która ma poczucie siebie, ma pojęcie o przyszłości i przeszłości, może posiadać wartości, dokonywać wyborów; krótko mówiąc, może podejmować plany na swoje życie."
ku czci,"W 2009 roku pojawiła się inicjatywa postawienia pomnika ku czci ofiar, jednak z braku potwierdzenia autentyczności wypadku nie doszło do realizacji inicjatywy."
lat świetlnych,1 Gly = 1 miliard lat świetlnych.
latarni morskiej,"Ponieważ miejsce jest dobrze widoczne z morza, mogło też pełnić rolę latarni morskiej dla statków pływających pomiędzy wyspami maltańskimi a północną Afryką."
lał wodę,"2006, Burmistrz zamiast asfaltu lał wodę?, Kartuzy.info Jeśli Gołuński myśli, że ktoś stąd będzie na niego głosował w listopadzie, to się grubo myli. Miał nam wylać asfalt, a okazało się, że lał tylko wodę. Z takim traktowaniem wyborców to może sobie kandydować, ale najlepiej gdzie indziej."
liczb całkowitych,"Zostało to udowodnione w 1985 przez Andrása Sárközy’ego dla wszystkich wystarczjąco dużych liczb całkowitych, a dla wszystkich liczb całkowitych > 4 w 1996 przez Oliviera Ramaré’a i Andrew Granville’a."
liczb naturalnych,"Turing i Church niezależnie wykazali w roku 1930, że ten zbiór liczb naturalnych jest nieobliczalny."
liczb pierwszych,"Jeśli znajdzie przeciwprzykład (liczbę parzystą ≥ 4, która nie jest sumą 2 liczb pierwszych w danym przykładzie), to zatrzyma się i powiadomi nas."
liczb ujemnych,Jednym z największych matematycznych osiągnięć ery dynastii Han było użycie po raz pierwszy w świecie liczb ujemnych.
liczba kardynalna,Jest ona zdefiniowana jako liczba kardynalna największego zbioru liniowo niezależnych elementów grupy.
liczba pierwsza,"Nie wiadomo czy istnieje taka liczba pierwsza p, że Cp też jest liczbą pierwszą."
liczba złożonych,"W dniu 7 października L. A. Times poinformował, że liczba złożonych pozwów zbiorowych wzrosła do ponad 230."
liczbach całkowitych,"Wilkie pokazał, że są twierdzenia o dodatnich liczbach całkowitych, które nie mogą zostać udowodnione przy użyciu powyższych jedenastu aksjomatów i wskazał, jakie dodatkowe informacje są potrzebne do przeprowadzenia ich dowodów."
liczbach pierwszych,Prace Eulera w tej dziedzinie doprowadziły do rozwoju twierdzenia o liczbach pierwszych.
liczbami naturalnymi,"Istnieją dwa znane uogólnienia dla sumowania metodą Cesàro: koncepcyjnie prostszą z nich jest ciąg metod (H,n) dla n będących liczbami naturalnymi."
liczbie atomowej,Wśród transuranowców (pierwiastków o liczbie atomowej powyżej 92) tylko pluton i neptun występują naturalnie na Ziemi.
liczby naturalne,"Problem rozstrzygalności, sformułowany przez Dawida Hilberta, stawia pytanie czy istnieje efektywna procedura do określenie które wyrażenia matematyczne (zakodowane jako liczby naturalne) są prawdziwe."
liczbą pierwszą,"Podręcznik ZX Spectrum poprawił to i poprawnie twierdzi, że jest liczbą pierwszą Fermata równą 216+1.)"
lingwistyka stosowana,"Jednak w latach sześćdziesiątych XX wieku lingwistyka stosowana została poszerzona o ocenę języka, politykę językową oraz naukę języków obcych."
list pożegnalny,"Laura pozostawiła list pożegnalny do swojego ojca, ale jej łódź pozostała w porcie Maurik."
mała czarna,Z tamtego okresu wywodzi się tak zwana mała czarna oraz moda na czerń i wszelkie ciemne kolory kojarzone dotychczas z pośledniejszymi gatunkami ubrań i niższymi klasami społecznymi.
małe czarne,"2003, Przekrój „Kofeiniści” są podatni na nerwice lękowe, zmienność nastroju, agresję i bardziej „tradycyjne” objawy jak bezsenność czy zaburzenia pracy serca. Trzy-cztery małe czarne dziennie powodują po prostu, że zachowujemy się podobnie jak pod wpływem ciągłego stresu - wykazały badania przeprowadzone na Uniwersytecie Stanowym w Teksasie."
małej czarnej,"Ówczesny redaktor naczelny „Robotnika', znany działacz socjalistyczny Perl, który wydelegował na proces jako sprawozdawcę Kazimierza Pollacka, przekonanego o niewinności oskarżonego i dającego temu wyraz w swoich sprawozdaniach z procesu — zwrócił się do majora Zielińskiego z propozycją spotkania się przy małej czarnej."
małą czarną,"Wspomógł mnie nieco, kupując mi małą czarną od Alaia, żebym nie różniła się zbytnio od kobiet, z którymi przychodziło nam się przy różnych towarzyskich okazjach spotykać."
mgłą wojny,"Ta technika projektancka nazywana jest mgłą wojny – gracz może zyskać ogląd na teren, jednak nie na jednostki znajdujące się na odkrytym obszarze."
miesiąc miodowy,Następnie para wyjechała na krótki miesiąc miodowy do Petersburga w stanie Virginia.
miesiąca miodowego,"W 1919 r. poślubił Helen Hamilton, ale zginęła ona w wypadku alpinistycznym podczas ich miesiąca miodowego."
mieć miejsce,"Jedynie w Danii miał mieć miejsce wypadek zastrzelenia mężczyzny, który pomagał Żydom dostać się na prom odpływający do neutralnej Szwecji."
mieć nadzieję,"Na dzień dzisiejszy musimy mieć nadzieję, że wydarzy się coś dobrego, a w tym czasie kontynuujmy naszą własną pracę...”."
mimo to,"Ogłoszenia o mającej się odbyć kampanii były publikowane w lokalnej prasie już na kilka dni przed jej rozpoczęciem, choć mimo to wielu mieszkańców zostało zaskoczonych przez „inwazję”."
mimo wszystko,"Planowana wyprawa przyciągnęła jednakże tak wiele uwagi, że Glassvatt zdecydował się mimo wszystko podjąć wyzwanie."
mimo że,"Jest tak nazwany, ponieważ 'wszystkie piosenki, mimo że jest to album taneczny, są introspekcyjne'."
miody pitne,"Jest to tylko częściowo prawdą, gdyż miody pitne miały wielką wartość symboliczną podczas ważnych okazji."
między innymi,"Artykuł głosił między innymi, że „gdyby wszystkie okręty na atolu Bikini były obsadzone załogami, bomba Baker zabiłaby 35 000 ludzi."
miłość od pierwszego wejrzenia,"Wierzy w małżeństwo, ale nie w miłość od pierwszego wejrzenia."
modlitw porannych,"Oprócz regularnych modlitw porannych (w tygodniu), katolików, luteranów i prawosławnych, usługi modlitewne oferowane są zazwyczaj w porze lunchu, w kilku językach, ale głównie w języku angielskim i francuskim."
moim zdaniem,"Ingraham pisał w swym dzienniku: „Zważywszy na część świata, w jakiej znajdowaliśmy się, był to moim zdaniem wyjątkowy dar."
może nie,"Badania pokazują jednak, że może nie być towina testów, ale raczej różnic w osiągnięciach uczniów w USA."
na Amen,"Ze względu na Amen break, 'Amen, Brother' jest najczęściej samplowanym utworem w historii muzyki, przynajmniej 2 239 razy."
na Festival,Latem 2007 roku Roger poleciał do Francji by zagrać na Festival Country Rendez-Vous.
na Festiwalu,"W czerwcu 1949 Strand opuścił Stany Zjednoczone, aby zaprezentować Native Land na Festiwalu Filmowym w Karlowych Warach w Czechosłowacji."
na Jeżołaka,"Aczkolwiek Tetsu Katano potwierdza dużą negatywną reakcję fanów na Jeżołaka, wierzy on, że mógłby powrócić w przyszłości."
na Rzecz,W 1990 założył Ruch na Rzecz Przetrwania Ludu Ogoni (MOSOP).
na bank,"W 1929 roku ówczesny Prezes Pocztowej Kasy Oszczędności, Henryk Gruber zwrócił uwagę na fakt, że istnieje zapotrzebowanie na bank, który będzie w stanie świadczyć usługi finansowe dla ośmiu milionów Polaków żyjących poza granicami kraju."
na bazie,"Próg ten jest powszechnie uważany za maksymalną prędkość, która może być obsługiwana przez sieć bieżącej generacji (na bazie miedzi).'"
na boki,"Aby dodać do siebie dwie liczby, odkłada się jedną z nich na abakusie, po czym rozsuwa na boki i na środku układa drugą z nich."
na co dzień,Z rzadka był odwiedzany przez Habsburgów (którzy najczęściej przebywali w Wiedniu) i na co dzień stanowił siedzibę administracji Komory Cieszyńskiej.
na czas,"Tak jak był podejrzany w trwającym śledztwie, został zdyskwalifikowany z łotewskiej Wyższej Ligi na czas nieokreślony przez Łotewską Federację Piłkarską."
na czasie,"Hołdanowicz G., Dzik - propozycja na czasie."
na czaszce,Przewody te zostały później zastąpione przez srebrne folie umieszczone na czaszce pacjenta pod gumowymi bandażami.
na czele,Po wojnie stanął na czele izraelskiej delegacji prowadzącej negocjacje z Libanem i Syrią.
na cześć,"Amerykański paleontolog Henry Fairfield Osborn, na cześć którego nazwano B. osborni, zasugerował, że może należeć do Titanotheriidae."
na czoło,"W tych trudnych czasach, gdy dawał się odczuć brak władzy królewskiej, na czoło wysuwali się ludzie tacy, jak Aung Zeya."
na dobre,Przeprowadziła się na dobre do Nowego Jorku w grudniu 2011 roku i współtworzyła eksperymentalną firmę teatralną.
na dobrej,"3) do promowania polityki publicznej, opartej na dobrej praktyce w dziedzinie nauki i medycyny."
na dobrych,"Przykładowo, grający w squasha profesor historii znający się na dobrych winach może posiadać wiedzę: 'Historia', 'Squash' i 'Enologia'."
na dodatek,"W roku 1935 powiedział do swego doradcy do spraw politycznych, Sumnera Wellesa: „Liga Narodów to nic więcej niż klub dyskusyjny, na dodatek kiepski!”."
na dworze,"Po powrocie z Włoch przebywał na dworze króla Zygmunta Augusta, gdzie dał się poznać jako człowiek szczególnie utalentowany do języków obcych i do służby w dyplomacji."
na dwór,"Obecny system Surjasiddhanta (czyli szkoła Saura) został wprowadzony na dwór Konbaung w roku 1786, a na birmański został przetłumaczony po około 50 latach."
na dzień dobry,Pocałuj mnie na dzień dobry!
na festiwalach,"Amblin’ zdobył także kilka nagród na festiwalach filmowych, w tym na Atlanta Film Festival w 1969 roku."
na festiwalu,"Później tego roku , robot pojawił się we Włoszech na festiwalu w Genui."
na gorącym uczynku,"Zatrzymani na gorącym uczynku byli często sądzeni za szpiegostwo, a także stosowano wobec nich proporcjonalnie bardziej surowe kary."
na głos,"W 2012 roku Komitet Wykonawczy UEFA przyznał GFA tymczasowe członkostwo począwszy od 1 października, w oczekiwaniu na głos na kongresie w maju 2013 roku, aby ustanowić go pełnoprawnym członkiem."
na kopy,Ludzi takich jak on jest na kopy.
na krzywy ryj,"Masz zaproszenie? – Nie, ale wbijemy się na krzywy ryj."
na kształt,Czasami formowane były na kształt małych figurek.
na kształtowanie,"W 1982 roku zainicjował, i aż do 1992 roku kierował, Centrum Badań Polityki Społecznej w Izraelu, obecnie: Centrum Tauba, niezależny i nie nastawiony na zysk „think tank”, którego celem było wpływanie na kształtowanie polityki społecznej Izraela zgodnie z wartościami równości społecznej i sprawiedliwości."
na lepsze,"Jest energiczną dziewczyną i bez mówi ogródek to, co ma na myśli, również zaczyna zmieniać się na lepsze po spotkaniu Tsubomi."
na lepszy,Według IRC „Freedom Award ukazuje niezwykłą zdolność jednostki do kształtowania historii i zmiany świata na lepszy w kierunku wolności dla wszystkich”.
na lewo,"1 czerwca Lowe donosił, że nad konfederackimi barakami na lewo od Richmondu przestał unosić się dym."
na lewy,W „Another Morning” podwójny wokal Raya Thomasa rozproszony jest na lewy i prawy kanał stereo.
na marginesach,"Druga wiadomość, napisana na marginesach tego samego arkusza papieru, była znacznie gorsza."
na marginesie,"30 lipca 2010 na blok ten został nadrukowany tekst '4TH CENTENARY OF THE DEATH OF CARAVAGGIO 1610-2010' złotymi literami na marginesie, z numerem seryjnym."
na miejscach,"Mimo większej o 600 kg wagi, w porównaniu do standardowego Urbino 18, model Urbino 18 DIWAhybrid może zabrać 161 pasażerów, w tym 51 na miejscach siedzących."
na miejsce,"Prezydent Miguel Díaz-Canel, minister zdrowia Roberto Morales oraz przedstawiciele lokalnych władz przybyli na miejsce zdarzenia w celu obserwacji i monitorowania działań ratowniczych."
na miejscu,"O ile Drugie rozporządzenie o ograniczeniu pobytu w Generalnym Gubernatorstwie z 29 kwietnia 1941 roku przewidywało kary więzienia i grzywny za nieprzestrzeganie zarządzeń w sprawie „ograniczeń pobytu”, o tyle już od połowy tegoż roku Żydów schwytanych poza granicami getta zazwyczaj rozstrzeliwano na miejscu – uzasadniając to zwykle rzekomą „próbą ucieczki”."
na moc,Dobrze zaprojektowany silnik może przetwarzać ponad 90% energii wejściowej na moc użyteczną przez dziesiątki lat.
na mocy,"East Torrens wpisano do dziennika urzędowego w 1853 roku na mocy ustawy District Councils Act 1852 (Ustawa o radach okręgowych); ustawa ta przewidywała, że w radzie zasiada pięciu wybranych członków, każdy jako reprezentant danego regionu."
na najlepszego,"Międzynarodowe Dziecięce Centrum Prasowe skupia zwycięzców narodowych konkursów na najlepszego młodego dziennikarza, młodych blogerów, fotografów oraz pisarzy."
na najlepszej,"Władze lokalne znajdują się na najlepszej pozycji, aby zmienić postawy obywateli i wpłynąć na kwestie klimatu i energii, szczególnie poprzez godzenie interesu publicznego i prywatnego oraz łączenie zagadnień zrównoważonej energii z ogólnymi celami rozwoju lokalnego."
na najnowocześniejszych,Wzorował się na najnowocześniejszych placówkach medycznych Europy Zachodniej.
na nowo,"Stwierdziła, że „mogła się zabić” i „musiała uczyć się jeść na nowo”."
na nowotwory,"Jednakże według badań białoruskich lekarzy, wskaźnik zachorowalności na nowotwory złośliwe wśród tej populacji jest około czterech razy większy niż u innych."
na oczach,"W 1561 r., „na oczach zmrożonych przerażeniem birmańskich posłów, arcybiskup umieścił Ząb w moździerzu, roztarł go na proszek, spalił w tyglu, a popiół wyrzucił do rzeki.”."
na odwrocie,Od 1935 obie strony wielkiej pieczęci znajdują się na odwrocie banknotu jednodolarowego.
na odwrót,W wodzie morskiej jest na odwrót.
na ogół,"Jednakże różne stopnie swobody, na ogół, nie mogą być uważane za posłuszne prawom mechaniki klasycznej."
na okaziciela,obligacje na okaziciela – bearer bonds
na oko,"Stary Pete i Chips – staruszek w wieku niepotwierdzonym, („na oko” ponad sto, zawsze pojawia się w Latającym Łabędziu razem ze swoim kudłatym psem Chipsem."
na okoliczności,Generał nie może opuszczać pałacu bez względu na okoliczności.
na około,"W 2011 nowe dane z Wide-field Infrared Survey Explorer zrewidowały datę kolizji, która zaowocowała powstaniem rodziny Baptistiny na około 80 milionów lat."
na opakowaniach,"W 1935 roku, państwo Johnson zostali przedstawieni na opakowaniach płatków zbożowych jako 'mistrzowie sportu'."
na oślep,W rezultacie artylerzyści strzelali na oślep i strącili tylko jedną Barracudę; trzech lotników poległo.
na pamięci,"Kolbe zamieścił także ilustrację, która wedle Mohra opierała się na pamięci i notatkach."
na pamięć,Samsung promował RDRAM Rambusa i obecnie ma zakupioną licencję na pamięć XDR Rambus.
na pewno,"Na początku zaczyna się od przypadku, który nie przechodzi testu – zapewnia to, że test na pewno działa i może wyłapać błędy."
na początek,"Choć ostatecznie Niemcy nie złożyli zamówienia, Armia Stanów Zjednoczonych postanowiła nabyć na początek sześć śmigłowców S-64A (z oznaczeniem YCH-54A Tarhe)."
na początku,Sędzia i jego żona: Postać Sędziego pojawiła się dopiero na początku XX wieku.
na podobieństwa,Historycy wskazują też na podobieństwa nazw między miejscowościami w Kansai oraz na północy Kiusiu.
na podstawach,"W czasie trwania programu NIAC poszukiwano propozycji zaawansowanych koncepcji, które miały być oparte na podstawach naukowych i być osiągalne w okresie 10–40 lat."
na podstawie,"Film powstał na podstawie książki Bringing Elizabeth Home, napisanej przez jej rodziców, Eda i Lois Smartów."
na pokaz,"W Wielkiej Brytanii jest wielu „religijnych ateistów”, jak choćby George Fox, John Wesley a zwłaszcza Jeremy Bentham, którego ciało jest wystawione na pokaz w University College London."
na pokazach,"W latach 80. grupa Jiving Lindy Hoppers odegrała kluczową rolę w rozprzestrzenianiu się Lindy Hop w Wielkiej Brytanii nauczając i występując na pokazach, festiwalach oraz w telewizji."
na pokazie,Nośnik 50 GB (prototyp) został zaprezentowany na pokazie COMDEX w listopadzie 2000 roku.
na poważnie,"Hayley myśli, że jest nierobem, który nie bierze swojej pracy na poważnie."
na prawach,"Copyleft bazuje na prawach autorskich, więc dzieło musi mieć notkę o prawach autorskich."
na prawo,"Po opuszczeniu Cambridge, Stephen zdecydował się na prawo."
na przekór,Prośba o prowadzenie drogą Bożą na przekór złoczyńcom (w.
na przemian,John Allan na przemian rozpieszczał i agresywnie karał swego wychowanka.
na przestrzeni,"Ponieważ za apostatę można uznać muzułmanina, którego przekonania podają w wątpliwość boskość lub Koran, ateizm i apostazja były zarzucane muzułmańskim uczonym i przeciwnikom politycznym na przestrzeni historii."
na przodzie,"Była ona wsparciem dla drugiej bazy, zaokrąglonej na przodzie i tworzącej półkolistą platformę, na której ustawiono grupę geniuszy wspierającą koronę Charlemagne'a."
na przykład,"Zamiast odnosić się stricte do dysfunkcji seksualnej jako problemu fizycznego, odpowiednia rehabilitacja seksualna bierze pod uwagę całość danej osoby, na przykład jej relacje i samoocenę."
na przykładzie,"Dziennikarz Digital Spy Lewis Corner czuł, że tytułowy utwór ma bardzo niewiele barier, na przykładzie tekstu 'I am, with or without you / I am, breathing without you / I am, somebody without you.'('Jestem, z tobą lub bez ciebie / jestem, oddycham bez ciebie / jestem, kimś bez ciebie.')"
na próżno,"Ucieka z austriackiego dworu i spędza dekady niespokojnie, podróżując po całym świecie, na próżno próbując uciec od strachu przed pustką."
na punkcie,"On wydaje się mieć obsesję na punkcie małżeństwa i często grozi źle zachowującym się uczennicom, że je poślubi, jeśli się nie poprawią."
na punktach,"Ta pionierska grupa opracowała matematyczny system oparty na punktach oszczędnościowych, nazwany zrównoważonym systemem oszczędzania."
na pusty żołądek,Zaleca się podawanie ich na pusty żołądek.
na raz,"Te kolekcje są zwykle ustawiane i organizowane na samym Kindle, jedna książka na raz."
na razie,"Ponadto istnieją scenariusze, w których może być więcej niż 4 wymiary czasoprzestrzeni, których jednak nie udaje się na razie wykryć."
na rzecz,22 października 2014 roku została uhonorowana nagrodą ASPCA Compassion Award za jej zasługi na rzecz dobrobytu zwierząt.
na skutek,"W tym okresie zespoły wydawały nawet swoje nowe płyty, jednak na skutek braku istnienia w tym czasie gatunku w ogólnokrajowych mediach nie przyniosły one popularności."
na skutkach,W późniejszych latach jego badania koncentrowały się na skutkach biologicznych wielokrotnego narażenia na niskie dawki promieniowania.
na stałe,Delegacja węgierska wróciła na stałe do igrzysk paraolimpijskich w 1984 roku.
na stałą,"O strukturze Ginsberg mówi, że część III jest „piramidalna, która stopniowo reaguje na stałą bazę”."
na stronach,"Może być używana na okładkach, plakatach itd., ale uważajcie jak ją stosujecie na stronach internetowych!"
na stronie,Small Farms Library na stronie Journey to Forever (Publikacje Sir Albert'a Howarda).
na stronę,Kodeks ten jest pisany w pięciu kolumnach na stronę gdyż w odróżnieniu od innych fragmentów manuskryptów Hexapli nie zawiera kolumny napisanej w języku hebrajskim.
na temat,"Niewiele wiadomo na temat prywatnych poglądów Smitha ponad to, co można wydedukować z jego prac."
na tematach,"Komiks wydawany w odcinkach trzy razy w tygodniu, skupia się na tematach technicznych, z naciskiem na 'kult' produktów Apple Computer."
na tematy,"Od lat 60. prowadził wykłady na tematy związane z fizyką kwantową i świadomością, często pod pseudonimem Dr. Quantum lub Captain Quantum."
na uboczu,Jej prosta architektura jest typowa dla maltańskich kaplic położonych na uboczu.
na wczoraj,"W tym zakładzie wszystko jest opóźnione. Na podstawie obserwacji powiedziałbym, że jeśli chodzi o priorytety, zakład ma cztery grupy zamówień: pilne, bardzo pilne, nie cierpiące zwłoki i na wczoraj. Po prostu nie nadążamy ze wszystkim."
na wolności,Każdego roku od 2008 Mindvalley nazywa się najbardziej skoncentrowaną na wolności organizacją na świecie według listy The WorldBlu List of Freedom-Centered Workplaces.
na wolność,"Po wypuszczeniu na wolność powrócił do Paryża, gdzie wybrano go prezydentem Białoruskiej Republiki Ludowej na uchodźstwie."
na wszelki wypadek,"Jego zdaniem poezja to „taki magazyn historycznych osobliwości, w którym na wszelki wypadek trzymamy rzadko używane słowa, a poeci to robotnicy, którzy używają tych słów jako surowca."
na wynos,"Jest popularnie zamawiany i dostarczany, podobnie jak chińskie jedzenie na wynos w innych częściach świata."
na wzór,Coś na wzór puszek z zupą Campbella.”
na własne oczy,Kalas powiedział: „To dogłębne i przytłaczające przeżycie zobaczyć na własne oczy nigdy wcześniej nie widzianą planetę.
na zapasy,"EA „planuje wykorzystać moduły do zapewnienia dodatkowej przestrzeni i miejsca na zapasy turystom i naukowcom, których zamierza zabrać w przestrzeń kosmiczną”."
na zawsze,"Jeśli Margaret Ogilvy znalazła pociechę w idei, że David, umierając jako chłopiec, pozostał chłopcem na zawsze, to Barrie znalazł inspirację”."
na zewnątrz,"Aktywności na zewnątrz nie zanikły całkowicie: grano w piłkę nożną na lodzie, a harmonogram magnetycznych i meteorologicznych obserwacji był przestrzegany."
nad ranem,Dwa dni później nad ranem 2 lipca 1961 Hemingway zastrzelił się ze swojej ulubionej strzelby.
nadgorliwość jest gorsza od faszyzmu,"Robert, chłopie, jak oni mogli ci to zrobić?! A tak się starałeś, oszołoma Skowrońskiego wyrzuciłeś, pisowskich siepaczy pognałeś i co?! Na bruk?! Może jednak cię przywrócą albo jakąś radę nadzorczą znajdą? Przepraszamy państwa za ten osobisty ton, ale przejęliśmy się losem Roberta Wijasa, szefa Polskiego Radia, którego bezceremonialnie wylano z roboty. Morał banalny, ale jakże, zwłaszcza w kontekście Farfała, aktualny: nadgorliwość jest gorsza od faszyzmu."
najstarszego zawodu świata,Prostytucja określana jest mianem „najstarszego zawodu świata”.
nauk ścisłych,"Różne autorytety współpracują, starając się złagodzić ten problem, głównie poprzez zachęcanie przedsięwzięć w dziedzinie high-tech, dla których bazę stanowi Uniwersytet Tohoku, dobrze znany z wydziałów inżynieryjnych i nauk ścisłych."
naukami ścisłymi,"W młodości Laurens wykazywał niemałe zainteresowanie naukami ścisłymi i medycyną, ale kiedy powrócił do Londynu w sierpniu 1774 roku, jego ojciec posłał go na studia prawnicze."
ni chuja,"Próbowałem odkręcić tę śrubę większym kluczem, ale ni chuja, ani drgnie."
nie bardziej,"Pithovirus przechodzi zatem cały cykl replikacji w cytoplazmie gospodarza, a nie bardziej typową metodę przejmowania jądra gospodarza."
nie cierpiał,"Powiedział on, że jako keyboardzista, nie cierpiał poglądu bycia „statycznym”, i by tego uniknąć „chciał dostać się do fortepianu, ocierać struny i wciskać piłeczki pingpongowe do środka”."
nie cierpiało,"Z 2750 tych, którzy udali się do Birmy, zaledwie dwóch nie było nigdy hospitalizowanych, nie odniosło ran i nie cierpiało na poważniejsze choroby."
nie cierpieli,"Jego zdaniem rzadko też wiemy, co robić, by ludzie byli szczęśliwi, natomiast wiemy, co robić, by ludzie nie cierpieli, wystarczy ich nie tworzyć."
nie cierpią,W efekcie nie cierpią na ślepotę śnieżną.
nie ma,"Badanie z 2013 roku wykazało, że poziomy ołowiu w kościach członków załogi były niezmienne w czasie ich życia, i że nie ma żadnej różnicy izotopowej między koncentracją ołowiu w starszych i młodszych materiałach kostnych."
nie ma chuja we wsi,"2002, Michał Koterski as Sylwuś, Dzień świra Jak tatuś zrobi dzióbek, to nie ma chuja we wsi! When daddy makes the hood, fuckers got nothing on it!"
nie mają,"Kakadu nie mają natury migracyjnej, ale regularnie, sezonowo przemieszczają się w różne rejony Australii."
nie mając,"Przyjaciel rodziny zaproponował mu pracę w Toronto i nie mając innego zajęcia, zaakceptował ją."
nie mam,"Od dzisiejszego ranka nie mam córki, ona nie żyje, pisała do matki 27 lipca 1800 roku."
nie mamy,"Pomimo że nie mamy dalszych informacji o Flamininusie, wydaje się że zmarł około 174 pp. n.e."
nie masz,"Jeśli nie masz cynicznego zakończenia, to historia staje się zbyt prosta”."
nie miał,"Grupa Lotus wszczęła postępowanie prawne przeciwko Lotus Racing utrzymując, że Tony Fernandes nie jest uprawniony do używania nazwy Lotus, ponieważ David Hunt nigdy nie miał prawa do sprzedaży praw."
nie miała,"Postać diabła nie miała ani mówić ani śpiewać, a jedynie gwizdać."
nie miałaby,"Równocześnie odmawiał wyjazdu w charakterze misjonarza na Athos, gdzie, jak twierdził, jego działalność nie miałaby szans powodzenia."
nie miałam,"Żaden dwulatek nie chce pracować, ale nie miałam wyboru."
